sleTy,fshName,creatDate,pc,accmltPc,accmlyYr
산지,광어,2020-04-19,8772.0,8750.0,1688227.0
산지,광어,2020-04-20,10392.0,8801.0,1664048.0
산지,광어,2020-04-21,8731.0,8799.0,1650442.0
산지,광어,2020-04-22,10006.0,8832.0,1646685.0
산지,광어,2020-04-23,8794.0,8831.0,1630566.0
산지,광어,2020-04-24,8924.0,8833.0,1797263.0
산지,광어,2020-04-25,9034.0,8838.0,1778371.0
산지,광어,2020-04-26,9034.0,8838.0,1907852.0
산지,광어,2020-04-27,10500.0,8896.0,1891974.0
산지,광어,2020-04-28,9481.0,8910.0,1887451.0
산지,광어,2020-04-29,9907.0,8933.0,1872740.0
산지,광어,2020-04-30,10054.0,10054.0,1476463.0
산지,광어,2020-05-01,14255.0,12737.0,753822.0
산지,광어,2020-05-02,11014.0,12604.0,1012116.0
산지,광어,2020-05-03,11334.0,12514.0,1241613.0
산지,광어,2020-05-04,10500.0,12329.0,1350519.0
산지,광어,2020-05-05,11721.0,12293.0,1307226.0
산지,광어,2020-05-06,11823.0,12267.0,1388986.0
산지,광어,2020-05-07,11843.0,12245.0,1418886.0
산지,광어,2020-05-08,9466.0,12098.0,1443934.0
산지,광어,2020-05-09,11944.0,12091.0,1440611.0
산지,광어,2020-05-10,11658.0,12072.0,1641509.0
산지,광어,2020-05-11,9563.0,11988.0,1618043.0
산지,광어,2020-05-12,12682.0,12015.0,1629364.0
산지,광어,2020-05-13,13042.0,12053.0,1637640.0
산지,광어,2020-05-14,12880.0,12083.0,1642390.0
산지,광어,2020-05-15,12859.0,12109.0,1777493.0
산지,광어,2020-05-16,13125.0,12143.0,1750045.0
산지,광어,2020-05-17,13125.0,12143.0,1780591.0
산지,광어,2020-05-18,10077.0,12113.0,1776018.0
산지,광어,2020-05-19,13048.0,12141.0,1758024.0
산지,광어,2020-05-20,12926.0,12164.0,1746019.0
산지,광어,2020-05-21,13456.0,12201.0,1765569.0
산지,광어,2020-05-22,13197.0,12358.0,1708677.0
산지,광어,2020-05-23,13040.0,12376.0,1703891.0
산지,광어,2020-05-24,13040.0,12376.0,1771573.0
산지,광어,2020-05-25,13200.0,12397.0,1761624.0
산지,광어,2020-05-26,13083.0,12414.0,1768227.0
산지,광어,2020-05-27,13088.0,12431.0,1767416.0
산지,광어,2020-05-28,13068.0,12446.0,1762827.0
산지,광어,2020-05-29,13077.0,12460.0,1834376.0
산지,광어,2020-05-30,12987.0,12987.0,854866.0
산지,광어,2020-05-31,13000.0,12994.0,1631337.0
산지,광어,2020-06-01,12593.0,13290.0,1136176.0
산지,광어,2020-06-02,16919.0,13519.0,1226489.0
산지,광어,2020-06-03,12790.0,13474.0,1359809.0
산지,광어,2020-06-04,12895.0,13439.0,1419771.0
산지,광어,2020-06-05,12837.0,13406.0,1605505.0
산지,광어,2020-06-06,12715.0,13370.0,1603797.0
산지,광어,2020-06-07,12715.0,13370.0,1495350.0
산지,광어,2020-06-08,12693.0,13336.0,1467855.0
산지,광어,2020-06-09,12970.0,13318.0,1498970.0
산지,광어,2020-06-10,12682.0,13289.0,1495414.0
산지,광어,2020-06-11,13016.0,13278.0,1494426.0
산지,광어,2020-06-12,16500.0,13392.0,1425457.0
산지,광어,2020-06-13,12917.0,13373.0,1446605.0
산지,광어,2020-06-14,12917.0,13373.0,1506503.0
산지,광어,2020-06-15,13001.0,13360.0,1501460.0
산지,광어,2020-06-16,13051.0,13349.0,1518888.0
산지,광어,2020-06-17,12942.0,13335.0,1512054.0
산지,광어,2020-06-18,12996.0,13323.0,1496204.0
산지,광어,2020-06-19,12951.0,13311.0,1459983.0
산지,광어,2020-06-20,13024.0,13302.0,1468639.0
산지,광어,2020-06-21,13024.0,13302.0,1452197.0
산지,광어,2020-06-22,12702.0,13284.0,1452302.0
산지,광어,2020-06-23,12902.0,13273.0,1440413.0
산지,광어,2020-06-24,13135.0,13269.0,1437169.0
산지,광어,2020-06-25,12954.0,13260.0,1440417.0
산지,광어,2020-06-26,12903.0,13250.0,1414065.0
산지,광어,2020-06-27,12945.0,13242.0,1421913.0
산지,광어,2020-06-28,13344.0,13245.0,1478019.0
산지,광어,2020-06-29,12784.0,12784.0,773613.0
산지,광어,2020-06-30,16500.0,14088.0,1382385.0
산지,광어,2020-07-01,12590.0,13434.0,965330.0
산지,광어,2020-07-02,12925.0,13400.0,1260286.0
산지,광어,2020-07-03,12935.0,13371.0,1141912.0
산지,광어,2020-07-04,12694.0,13331.0,1084899.0
산지,광어,2020-07-05,12694.0,13331.0,1295250.0
산지,광어,2020-07-06,13056.0,13316.0,1311179.0
산지,광어,2020-07-07,12910.0,13294.0,1357971.0
