Date,Open,High,Low,Adj Close,Volume,Close
2019-06-10,3.694,3.77975,3.694,3.689755,402780880,3.71075
2019-06-11,3.771,3.809,3.729,3.747427,383870040,3.76875
2019-06-12,3.725,3.73125,3.63975,3.63432,358891920,3.655
2019-06-13,3.67725,3.725,3.6595,3.685529,308081080,3.7065
2019-06-14,3.61275,3.63725,3.5709,3.595541,394426240,3.616
2019-06-17,3.61425,3.663015,3.59125,3.605236,276041480,3.62575
2019-06-18,3.6875,3.87775,3.6765,3.800376,581918000,3.822
2019-06-19,3.8575,3.86892,3.801845,3.806342,331643960,3.828
2019-06-20,3.91925,3.93325,3.837945,3.830703,350167280,3.8525
2019-06-21,3.8375,3.887,3.7875,3.772534,434426880,3.794
2019-06-24,3.8155,3.84625,3.768,3.794907,282948720,3.8165
2019-06-25,3.8215,3.897,3.78425,3.765573,311866440,3.787
2019-06-26,3.91525,4.043,3.90225,3.958973,584073000,3.9815
2019-06-27,4.06775,4.1,4.0315,4.057662,445441520,4.08075
2019-06-28,4.125,4.13425,4.05875,4.08252,397666360,4.10575
2019-07-01,4.31425,4.34875,4.1165,4.130746,711533080,4.15425
2019-07-02,4.1375,4.158732,4.0425,4.032804,386895360,4.05575
2019-07-03,4.07925,4.085,4.008537,4.045729,246634240,4.06875
2019-07-05,4.01,4.0145,3.942,3.983086,396553880,4.00575
2019-07-08,3.94575,3.96475,3.9,3.908013,329786760,3.93025
2019-07-09,3.88775,3.961,3.875,3.910499,342860480,3.93275
2019-07-10,3.9765,4.059222,3.9625,3.97886,452075960,4.0015
2019-07-11,4.075,4.198,4.0375,4.13348,682558560,4.157
2019-07-12,4.185,4.26175,4.185,4.166542,506392640,4.19025
2019-07-15,4.2115,4.227645,4.15325,4.15809,289839720,4.18175
2019-07-16,4.16675,4.20425,4.121062,4.153368,341443920,4.177
2019-07-17,4.17875,4.24975,4.14935,4.218744,348204280,4.24275
2019-07-18,4.253125,4.31775,4.19625,4.230429,443178960,4.2545
2019-07-19,4.293,4.2995,4.205,4.187175,344895800,4.211
2019-07-22,4.2325,4.296,4.225,4.258768,315939920,4.283
2019-07-23,4.3225,4.3935,4.30675,4.366653,428176560,4.3915
2019-07-24,4.435,4.47225,4.3585,4.44123,366237480,4.4665
2019-07-25,4.42475,4.4375,4.311,4.309976,392698120,4.3345
2019-07-26,4.36175,4.42375,4.36175,4.351988,274159880,4.37675
2019-07-29,4.3695,4.386742,4.28175,4.345772,248161960,4.3705
2019-07-30,4.32375,4.3985,4.30925,4.361433,197770440,4.38625
2019-07-31,4.3545,4.355375,4.1755,4.194135,359415640,4.218
2019-08-01,4.2285,4.3195,4.07051,4.099673,421212560,4.123
2019-08-02,4.02975,4.0995,3.982,4.00695,428349280,4.02975
2019-08-05,3.845,3.84625,3.7225,3.748422,589157440,3.76975
2019-08-06,3.845,3.89075,3.76075,3.787201,361270680,3.80875
2019-08-07,3.7475,3.85925,3.73,3.825483,372561800,3.84725
2019-08-08,3.90525,3.95775,3.8475,3.934115,309298880,3.9565
2019-08-09,3.91525,3.91875,3.80375,3.832692,341816720,3.8545
2019-08-12,3.802,3.8545,3.76425,3.764828,279200480,3.78625
2019-08-13,3.78475,3.9475,3.745502,3.879178,360512440,3.90125
2019-08-14,3.812587,3.82375,3.707777,3.730523,419881320,3.75175
2019-08-15,3.77075,3.79075,3.68485,3.698207,554462040,3.71925
2019-08-16,3.98375,4.0385,3.922,3.966431,1015385120,3.989
2019-08-19,4.103,4.2855,4.08675,4.245344,816322440,4.2695
2019-08-20,4.264,4.2645,4.1755,4.173006,463521600,4.19675
2019-08-21,4.26325,4.33625,4.2415,4.25653,427910920,4.28075
2019-08-22,4.2905,4.33325,4.247612,4.262746,303756720,4.287
2019-08-23,4.21,4.26475,4.041,4.038024,569497320,4.061
2019-08-26,4.14025,4.1645,4.09775,4.112848,318594160,4.13625
2019-08-27,4.17475,4.1775,4.0155,4.022114,291549560,4.045
2019-08-28,4.0145,4.0835,3.975,4.011663,255828120,4.0305
2019-08-29,4.1225,4.2075,4.119,4.155488,358373040,4.175
2019-08-30,4.2215,4.2715,4.1695,4.168179,290908480,4.18775
2019-09-03,4.1145,4.14775,4.0813,4.085068,296510800,4.10425
2019-09-04,4.16525,4.2265,4.16525,4.199283,228120360,4.219
2019-09-05,4.321625,4.49975,4.32,4.4725,696485000,4.4935
2019-09-06,4.47,4.52725,4.428,4.445376,376976760,4.46625
2019-09-09,4.4975,4.5995,4.496,4.491411,417525320,4.5125
2019-09-10,4.4795,4.60625,4.46975,4.558098,352812200,4.5795
2019-09-11,4.59425,4.65675,4.565015,4.586713,361511280,4.60825
2019-09-12,4.655,4.71,4.59875,4.585221,327841000,4.60675
2019-09-13,4.53975,4.577,4.5045,4.527243,324591480,4.5485
2019-09-16,4.473,4.54,4.4625,4.484195,231831840,4.50525
2019-09-17,4.512,4.53089,4.46525,4.505594,228473120,4.52675
2019-09-18,4.51975,4.5355,4.4125,4.47847,264037680,4.4995
2019-09-19,4.5055,4.524,4.412752,4.402826,256342760,4.4235
2019-09-20,4.4225,4.44625,4.307,4.297073,357251800,4.31725
2019-09-23,4.3175,4.41675,4.31375,4.350572,255825880,4.371
2019-09-24,4.4025,4.43225,4.2775,4.293092,321241800,4.31325
2019-09-25,4.31275,4.4755,4.26775,4.434926,313106880,4.45575
2019-09-26,4.446,4.45475,4.38225,4.41278,237825920,4.4335
2019-09-27,4.3915,4.4425,4.233,4.273932,365958960,4.294
2019-09-30,4.32,4.362,4.288502,4.331413,193199080,4.35175
2019-10-01,4.375,4.525,4.34525,4.32967,367566000,4.35
2019-10-02,4.328,4.34,4.25325,4.305782,295661760,4.326
2019-10-03,4.3305,4.539,4.3,4.511566,462730600,4.53275
2019-10-04,4.535,4.57875,4.4695,4.527987,267960200,4.54925
2019-10-07,4.6145,4.7085,4.60575,4.586713,488313560,4.60825
2019-10-08,4.516,4.516,4.4125,4.410043,449342640,4.43075
2019-10-09,4.508,4.5675,4.479002,4.496636,307883280,4.51775
2019-10-10,4.5155,4.627,4.51025,4.554365,327515560,4.57575
2019-10-11,4.66025,4.7335,4.64125,4.62802,450866720,4.64975
2019-10-14,4.641,4.68425,4.609625,4.641456,210335760,4.66325
2019-10-15,4.754,4.98225,4.74,4.886306,667985320,4.90925
2019-10-16,4.875,4.9805,4.84375,4.83256,432753120,4.85525
2019-10-17,4.9,4.945357,4.8025,4.834548,264316960,4.85725
2019-10-18,4.85775,4.8905,4.6875,4.739993,307624200,4.76225
2019-10-21,4.824,4.91375,4.805,4.877348,266967240,4.90025
2019-10-22,4.9575,5.06325,4.8825,4.867395,337369120,4.89025
2019-10-23,4.80775,4.8915,4.77575,4.854456,285770000,4.87725
2019-10-24,4.91875,4.95525,4.8845,4.898499,239037320,4.9215
